ApId;PointId;FrequencyMHz;Vendor;Rssi;TrueDistance
AP1;P1;;;Ide kell frek + gyarto is, RSSI ezenként van;4,258
AP2;P1;;;;12,768
AP3;P1;;;;24,771
AP4;P1;;;;21,661
AP1;P2;;;;12,233
AP2;P2;;;;11,652
AP3;P2;;;;31,529
AP4;P2;;;;31,748
AP1;P3;;;;11,973
AP2;P3;;;;16,173
AP3;P3;;;;16,308
AP4;P3;;;;12,156
AP1;P4;;;;15,026
AP2;P4;;;;9,942
AP3;P4;;;;14,053
AP4;P4;;;;18,012
AP1;P5;;;;18,837
AP2;P5;;;;20,518
AP3;P5;;;;11,243
AP4;P5;;;;7,752
AP1;P6;;;;26,382
AP2;P6;;;;24,334
AP3;P6;;;;5,616
AP4;P6;;;;11,636
