N;ALL
4.1900;10.0564
4.2000;10.0598
4.2100;10.0631
4.2200;10.0664
4.2300;10.0697
4.2400;10.0729
4.2500;10.0762
4.2600;10.0805
4.2700;10.0850
4.2800;10.0895
4.2900;10.0940
4.3000;10.0984
4.3100;10.1028
4.3200;10.1072
4.3300;10.1116
4.3400;10.1289
4.3500;10.1518
4.3600;10.1745
4.3700;10.1970
4.3800;10.2193
4.3900;10.2414
4.4000;10.2666
4.4100;10.2931
4.4200;10.3074
4.4300;10.3155
4.4400;10.3236
4.4500;10.3316
4.4600;10.3396
4.4700;10.3475
4.4800;10.3554
4.4900;10.3631
4.5000;10.3709
4.5100;10.3786
4.5200;10.3862
4.5300;10.3938
4.5400;10.4013
4.5500;10.4088
4.5600;10.4162
4.5700;10.4236
4.5800;10.4309
4.5900;10.4382
4.6000;10.4454
4.6100;10.4525
4.6200;10.4597
4.6300;10.4667
4.6400;10.4738
4.6500;10.4807
4.6600;10.4877
4.6700;10.4945
4.6800;10.5014
4.6900;10.5082
4.7000;10.5149
4.7100;10.5216
4.7200;10.5283
4.7300;10.5349
4.7400;10.5414
4.7500;10.5480
4.7600;10.5544
4.7700;10.5609
4.7800;10.5673
4.7900;10.5736
4.8000;10.5799
4.8100;10.5862
4.8200;10.5924
4.8300;10.5986
4.8400;10.6048
4.8500;10.6109
4.8600;10.6170
4.8700;10.6230
4.8800;10.6290
4.8900;10.6350
4.9000;10.6409
4.9100;10.6468
4.9200;10.6526
4.9300;10.6584
4.9400;10.6642
4.9500;10.6766
4.9600;10.6905
4.9700;10.7044
4.9800;10.7181
4.9900;10.7318
5.0000;10.7453
5.0100;10.7588
5.0200;10.7721
5.0300;10.7854
5.0400;10.7986
5.0500;10.8116
5.0600;10.8246
5.0700;10.8375
5.0800;10.8503
5.0900;10.8630
5.1000;10.8757
5.1100;10.8882
5.1200;10.9007
5.1300;10.9130
5.1400;10.9253
5.1500;10.9375
5.1600;10.9496
5.1700;10.9617
5.1800;10.9736
5.1900;10.9855
5.2000;10.9973
5.2100;11.0090
5.2200;11.0207
5.2300;11.0322
5.2400;11.0437
5.2500;11.0551
5.2600;11.0664
5.2700;11.0777
5.2800;11.0889
5.2900;11.1000
5.3000;11.1110
5.3100;11.1220
5.3200;11.1329
5.3300;11.1437
5.3400;11.1544
5.3500;11.1651
5.3600;11.1757
5.3700;11.1863
5.3800;11.1968
5.3900;11.2072
5.4000;11.2175
5.4100;11.2278
5.4200;11.2380
5.4300;11.2482
5.4400;11.2582
5.4500;11.2683
5.4600;11.2782
5.4700;11.2881
5.4800;11.2979
5.4900;11.3077
5.5000;11.3174
5.5100;11.3271
5.5200;11.3367
5.5300;11.3462
5.5400;11.3557
5.5500;11.3651
5.5600;11.3745
5.5700;11.3838
5.5800;11.3930
5.5900;11.4022
5.6000;11.4113
5.6100;11.4204
5.6200;11.4294
5.6300;11.4384
5.6400;11.4473
5.6500;11.4562
5.6600;11.4650
5.6700;11.4737
5.6800;11.4825
5.6900;11.4911
5.7000;11.4997
5.7100;11.5083
5.7200;11.5168
5.7300;11.5252
5.7400;11.5336
5.7500;11.5420
5.7600;11.5503
5.7700;11.5585
5.7800;11.5667
5.7900;11.5749
5.8000;11.5830
5.8100;11.5911
5.8200;11.5991
5.8300;11.6071
5.8400;11.6150
5.8500;11.6229
5.8600;11.6307
5.8700;11.6385
5.8800;11.6463
5.8900;11.6540
5.9000;11.6617
5.9100;11.6693
5.9200;11.6769
5.9300;11.6844
5.9400;11.6919
5.9500;11.6994
5.9600;11.7068
5.9700;11.7141
5.9800;11.7215
5.9900;11.7288
6.0000;11.7360
